Year,Sex,Age Group,Aboriginal status,Region,Population
1991,Female,60-,Aboriginal,Greater Darwin,40
1991,Female,65-,Aboriginal,Greater Darwin,31
1991,Female,70-,Aboriginal,Greater Darwin,23
1991,Female,75-,Aboriginal,Greater Darwin,14
1991,Female,80-,Aboriginal,Greater Darwin,8
1991,Female,85+,Aboriginal,Greater Darwin,2
1991,Female,0-,Non-Aboriginal,Greater Darwin,3291
1991,Female,5-,Non-Aboriginal,Greater Darwin,3178
1991,Female,10-,Non-Aboriginal,Greater Darwin,2916
1991,Female,15-,Non-Aboriginal,Greater Darwin,3070
1991,Female,20-,Non-Aboriginal,Greater Darwin,3891
1991,Female,25-,Non-Aboriginal,Greater Darwin,4169
1991,Female,30-,Non-Aboriginal,Greater Darwin,4090
1991,Female,35-,Non-Aboriginal,Greater Darwin,3658
1991,Female,40-,Non-Aboriginal,Greater Darwin,3368
1991,Female,45-,Non-Aboriginal,Greater Darwin,2200
1991,Female,50-,Non-Aboriginal,Greater Darwin,1360
1991,Female,55-,Non-Aboriginal,Greater Darwin,847
1991,Female,60-,Non-Aboriginal,Greater Darwin,603
1991,Female,65-,Non-Aboriginal,Greater Darwin,414
1991,Female,70-,Non-Aboriginal,Greater Darwin,292
1991,Female,75-,Non-Aboriginal,Greater Darwin,177
1991,Female,80-,Non-Aboriginal,Greater Darwin,102
1991,Female,85+,Non-Aboriginal,Greater Darwin,79
1992,Male,0-,Aboriginal,Greater Darwin,545
1992,Male,5-,Aboriginal,Greater Darwin,510
1992,Male,10-,Aboriginal,Greater Darwin,567
1992,Male,15-,Aboriginal,Greater Darwin,462
1992,Male,20-,Aboriginal,Greater Darwin,347
1992,Male,25-,Aboriginal,Greater Darwin,368
1992,Male,30-,Aboriginal,Greater Darwin,313
1992,Male,35-,Aboriginal,Greater Darwin,267
1992,Male,40-,Aboriginal,Greater Darwin,234
1992,Male,45-,Aboriginal,Greater Darwin,150
1992,Male,50-,Aboriginal,Greater Darwin,69
1992,Male,55-,Aboriginal,Greater Darwin,41
1992,Male,60-,Aboriginal,Greater Darwin,36
1992,Male,65-,Aboriginal,Greater Darwin,20
1992,Male,70-,Aboriginal,Greater Darwin,14
1992,Male,75-,Aboriginal,Greater Darwin,5
1992,Male,80-,Aboriginal,Greater Darwin,2
1992,Male,85+,Aboriginal,Greater Darwin,1
1992,Male,0-,Non-Aboriginal,Greater Darwin,3526
1992,Male,5-,Non-Aboriginal,Greater Darwin,3235
1992,Male,10-,Non-Aboriginal,Greater Darwin,3154
1992,Male,15-,Non-Aboriginal,Greater Darwin,3159
1992,Male,20-,Non-Aboriginal,Greater Darwin,3913
1992,Male,25-,Non-Aboriginal,Greater Darwin,4216
1992,Male,30-,Non-Aboriginal,Greater Darwin,4286
1992,Male,35-,Non-Aboriginal,Greater Darwin,4033
1992,Male,40-,Non-Aboriginal,Greater Darwin,3943
1992,Male,45-,Non-Aboriginal,Greater Darwin,3053
1992,Male,50-,Non-Aboriginal,Greater Darwin,2179
1992,Male,55-,Non-Aboriginal,Greater Darwin,1299
1992,Male,60-,Non-Aboriginal,Greater Darwin,930
1992,Male,65-,Non-Aboriginal,Greater Darwin,575
1992,Male,70-,Non-Aboriginal,Greater Darwin,326
1992,Male,75-,Non-Aboriginal,Greater Darwin,166
1992,Male,80-,Non-Aboriginal,Greater Darwin,87
1992,Male,85+,Non-Aboriginal,Greater Darwin,39
1992,Female,0-,Aboriginal,Greater Darwin,495
1992,Female,5-,Aboriginal,Greater Darwin,432
1992,Female,10-,Aboriginal,Greater Darwin,493
1992,Female,15-,Aboriginal,Greater Darwin,421
1992,Female,20-,Aboriginal,Greater Darwin,400
1992,Female,25-,Aboriginal,Greater Darwin,309
1992,Female,30-,Aboriginal,Greater Darwin,348
1992,Female,35-,Aboriginal,Greater Darwin,271
